#SampleID	Metaphlan2_Analysis
d__Bacteria	35
d__Bacteria|p__Chloroflexota	35
d__Bacteria|p__Chloroflexota|c__Anaerolineae	7
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales	5
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12	3
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__Fen-1038	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__Fen-1038|s__Fen-1038	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__JACPVF01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__JACPVF01|s__JACPVF01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__OLB14	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__OLB14|s__OLB14	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__RBG-16-64-43	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__RBG-16-64-43|g__JAFGKK01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__RBG-16-64-43|g__JAFGKK01|s__JAFGKK01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__UBA4823	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__UBA4823|g__CAIQIV01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__UBA4823|g__CAIQIV01|s__CAIQIV01	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Thermoflexales	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Thermoflexales|f__Fen-1058	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Thermoflexales|f__Fen-1058|g__Fen-1058	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Thermoflexales|f__Fen-1058|g__Fen-1058|s__Fen-1058	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UCB3	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UCB3|f__UCB3	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UCB3|f__UCB3|g__UCB3	1
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UCB3|f__UCB3|g__UCB3|s__UCB3	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01|g__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01|g__JADMIH01|s__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia	2
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__GIF9	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__GIF9|f__AB-539-J10	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__GIF9|f__AB-539-J10|g__SKVJ01	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__GIF9|f__AB-539-J10|g__SKVJ01|s__SKVJ01	1
